,project_id,boro,managing_agcy,orig_bud_amt,city_plan_total,noncity_plan_total,starting_delta,ending_delta,total_cost,cost_delta,costStatus,startStatus,endStatus,city_pct,noncity_pct,majority_funder,budget_usage
5255,P-30420SP,MANHATTAN,DEPT OF DESIGN & CONSTRUCTION,1000,2873.32,0.0,4,3,2873.32,1873.3200000000002,Over Budget,Late,Late,1.0,0.0,city,1.87332
5256,P-304CBBC,MANHATTAN,DEPT OF PARKS AND RECREATION,943,1414.0,0.0,-16,-15,1414.0,471.0,Over Budget,Early,Early,1.0,0.0,city,0.49946977730646874
5257,P-304CCMP,MANHATTAN,DEPT OF PARKS AND RECREATION,400,1884.0,0.0,0,-1,1884.0,1484.0,Over Budget,On Time,Early,1.0,0.0,city,3.71
5258,P-304CPTF,MANHATTAN,DEPT OF PARKS AND RECREATION,1650,1700.0,0.0,0,0,1700.0,50.0,Over Budget,On Time,On Time,1.0,0.0,city,0.030303030303030304
5259,P-304CRLB,MANHATTAN,DEPT OF PARKS AND RECREATION,600,3566.0,0.0,0,48,3566.0,2966.0,Over Budget,On Time,Late,1.0,0.0,city,4.943333333333333
5260,P-304DWCP,MANHATTAN,DEPT OF PARKS AND RECREATION,4880,4880.0,0.0,0,0,4880.0,0.0,On Target,On Time,On Time,1.0,0.0,city,1.0
5261,P-304DWIT,MANHATTAN,DEPT OF PARKS AND RECREATION,500,1950.0,0.0,0,0,1950.0,1450.0,Over Budget,On Time,On Time,1.0,0.0,city,2.9
5262,P-304HELK,MANHATTAN,DEPT OF PARKS AND RECREATION,450,480.0,0.0,0,0,480.0,30.0,Over Budget,On Time,On Time,1.0,0.0,city,0.06666666666666667
5263,P-304LRSQ,MANHATTAN,DEPT OF PARKS AND RECREATION,1140,3152.0,0.0,0,3,3152.0,2012.0,Over Budget,On Time,Late,1.0,0.0,city,1.7649122807017543
5264,P-304MPPR,MANHATTAN,DEPT OF PARKS AND RECREATION,1800,3256.0,0.0,0,5,3256.0,1456.0,Over Budget,On Time,Late,1.0,0.0,city,0.8088888888888889
5265,P-304MPRC,MANHATTAN,DEPT OF PARKS AND RECREATION,2600,2000.0,0.0,0,0,2000.0,-600.0,Under Budget,On Time,On Time,1.0,0.0,city,-0.23076923076923078
5266,P-304PENN,MANHATTAN,DEPT OF PARKS AND RECREATION,400,5047.0,0.0,0,0,5047.0,4647.0,Over Budget,On Time,On Time,1.0,0.0,city,11.6175
5267,P-304RAPK,MANHATTAN,DEPT OF PARKS AND RECREATION,1400,1614.0,0.0,10,11,1614.0,214.0,Over Budget,Late,Late,1.0,0.0,city,0.15285714285714286
5268,P-305MSEL,MANHATTAN,DEPT OF PARKS AND RECREATION,3460,2284.0,26000.0,0,14,28284.0,24824.0,Over Budget,On Time,Late,0.08075236883043417,0.9192476311695659,non_city,7.174566473988439
5269,P-305MSPK,MANHATTAN,DEPT OF PARKS AND RECREATION,200,200.0,0.0,0,0,200.0,0.0,On Target,On Time,On Time,1.0,0.0,city,1.0
5270,P-305UNIO,MANHATTAN,DEPT OF PARKS AND RECREATION,7961,6721.0,0.0,0,0,6721.0,-1240.0,Under Budget,On Time,On Time,1.0,0.0,city,-0.15575932671774903
5271,P-305UNQP,MANHATTAN,DEPT OF PARKS AND RECREATION,4040,4000.0,0.0,0,0,4000.0,-40.0,Under Budget,On Time,On Time,1.0,0.0,city,-0.009900990099009901
5272,P-30634LS,MANHATTAN,DEPT OF PARKS AND RECREATION,780,600.0,0.0,0,0,600.0,-180.0,Under Budget,On Time,On Time,1.0,0.0,city,-0.23076923076923078
5273,P-306ALFA,MANHATTAN,DEPT OF PARKS AND RECREATION,721,1201.0,0.0,0,0,1201.0,480.0,Over Budget,On Time,On Time,1.0,0.0,city,0.665742024965326
5274,P-306ALNP,MANHATTAN,DEPT OF PARKS AND RECREATION,1500,1743.0,2500.0,0,0,4243.0,2743.0,Over Budget,On Time,On Time,0.4107942493518737,0.5892057506481263,non_city,1.8286666666666667
5275,P-306APMU,MANHATTAN,DEPT OF PARKS AND RECREATION,354,1782.0,0.0,0,23,1782.0,1428.0,Over Budget,On Time,Late,1.0,0.0,city,4.033898305084746
